accver	date	cc	type	title	organism	collection_date	country
FJ597732.1	2005-05-25	SG	55	Human adenovirus 11a strain SGN1222, complete genome	Human adenovirus 11a	26-May-2005	Singapore
MK123981.1	2012-12-31	CN	55	Human adenovirus 55 strain TY26, complete genome	Human adenovirus 55	2013	China
MK123980.1	2012-12-31	CN	55	Human adenovirus 55 strain TY12, complete genome	Human adenovirus 55	2013	China
MK123979.1	2010-12-31	CN	55	Human adenovirus 55, complete genome	Human adenovirus 55	2011	China
MK123978.1	2018-05-31	CN	55	Human adenovirus 55 strain 267, complete genome	Human adenovirus 55	Jun-2018	China: Guangzhou
MH256657.1	2018-03-02	CN	55	UNVERIFIED: Human adenovirus 55 isolate DYN, complete genome	Human adenovirus 55	03-Mar-2018	China
MH256656.1	2018-02-12	CN	55	UNVERIFIED: Human adenovirus 55 isolate 1806003, complete genome	Human adenovirus 55	13-Feb-2018	China
MH256655.1	2018-02-12	CN	55	UNVERIFIED: Human adenovirus 55 isolate 1804001, complete genome	Human adenovirus 55	13-Feb-2018	China
MH256654.1	2018-02-11	CN	55	UNVERIFIED: Human adenovirus 55 isolate 24-2, complete genome	Human adenovirus 55	12-Feb-2018	China
MH256653.1	2018-02-11	CN	55	UNVERIFIED: Human adenovirus 55 isolate 24-1, complete genome	Human adenovirus 55	12-Feb-2018	China
KY471323.1	?	KR	55	Human adenovirus 55 strain AFMC 16-0096, complete genome	Human adenovirus 55	?	South Korea
KY471322.1	?	KR	55	Human adenovirus 55 strain AFMC 16-0035, complete genome	Human adenovirus 55	?	South Korea
KY471321.1	?	KR	55	Human adenovirus 55 strain AFMC 16-0081, complete genome	Human adenovirus 55	?	South Korea
KY471320.1	?	KR	55	Human adenovirus 55 strain AFMC 16-0074, complete genome	Human adenovirus 55	?	South Korea
KY471319.1	?	KR	55	Human adenovirus 55 strain AFMC 16-0094, complete genome	Human adenovirus 55	?	South Korea
KY471318.1	?	KR	55	Human adenovirus 55 strain AFMC 16-0007, complete genome	Human adenovirus 55	?	South Korea
KP896484.1	2013-01-14	CN	55	Human adenovirus B55 strain Tianjin/TJ01/2013, complete genome	Human adenovirus 55	15-Jan-2013	China
KP896483.1	2013-02-24	CN	55	Human adenovirus B55 strain Liaoning/LS01/2013, complete genome	Human adenovirus 55	25-Feb-2013	China
KP896478.1	2012-02-10	CN	55	Human adenovirus B55 strain Hebei/BD01/2012, complete genome	Human adenovirus 55	11-Feb-2012	China
KX289874.1	2015-11-11	CN	55	Human adenovirus 55 isolate JS201501, complete genome	Human adenovirus 55	12-Nov-2015	China
KY070248.1	2016-06-29	CN	55	Human adenovirus 55 isolate 60-GD-2016, complete genome	Human adenovirus 55	30-Jun-2016	China
KX494979.1	2016-02-22	KR	55	Human adenovirus 55 strain AFMC 16-0011, complete genome	Human adenovirus 55	23-Feb-2016	South Korea
JX491639.1	2011-03-23	CN	55	Human adenovirus 55 isolate HAdV-B/CHN/BJ01/2011/55[P14H11F14], complete genome	Human adenovirus 55	24-Mar-2011	China
KP279748.1	2012-04-17	CN	55	Human adenovirus 55 strain human/CHN/AQ-1/2012/55[P14/H11/F14], complete genome	Human adenovirus 55	18-Apr-2012	China
KC857701.1	2012-04-25	CN	55	Human adenovirus 55 strain HAdV B55 XZ2012-492, complete genome	Human adenovirus 55	26-Apr-2012	China
KF908851.1	2013-01-13	CN	55	Human adenovirus 55 strain TJ-2013-90, complete genome	Human adenovirus 55	14-Jan-2013	China
KJ883522.1	2011-12-04	CN	55	Human adenovirus 55 isolate Shanxi/QZ01/2011, complete genome	Human adenovirus 55	05-Dec-2011	China
KJ883521.1	2013-04-06	CN	55	Human adenovirus 55 isolate Hebei/BD6729/2013, complete genome	Human adenovirus 55	07-Apr-2013	China
KJ883520.1	2013-04-05	CN	55	Human adenovirus 55 isolate Hebei/BD6728/2013, complete genome	Human adenovirus 55	06-Apr-2013	China
JX123029.1	2012-01-07	CN	55	Human adenovirus 55 isolate CQ-2903, complete genome	Human adenovirus 55	08-Jan-2012	China
